X,Y,OBJECTID,DESCRIPTION,IDENTIFIER,LATITUDE,LONGITUDE
-86.121665413537158,39.771658658716618,17900,New York St & Keystone Ave,51115,397716511,-861216603
-86.117756812439922,39.771790258921897,17901,New York St & Eastern Ave,51117,397717827,-861177517
-86.116079111883295,39.771788158965911,17902,New York St & Rural St,51118,397717806,-861160740
-86.113431911173436,39.771831659144517,17903,New York St & Parker Ave,51119,397718241,-861134268
-86.111947410775585,39.771853359182593,17904,New York St & Gray St,51120,397718458,-861119423
-86.109425109944382,39.771917559396755,17905,New York St & Lasalle St,51121,397719100,-861094200
-86.10638570904031,39.771948559520148,17906,New York St & Gale St,51122,397719410,-861063806
-86.104553908526583,39.771978859663172,17907,New York St & Ewing St,51123,397719713,-861045488
-86.101885507733428,39.772031059804853,17908,New York St & Sherman Dr,51124,397720235,-861018804
-86.099912807172572,39.772038759880466,17909,New York St & Denny St,51125,397720312,-860999077
-86.097582906567794,39.772089359944495,17910,New York St & Grant Ave,51127,397720818,-860975778
-86.095126805730814,39.772114260153423,17911,New York St & Colorado Ave,51128,397721067,-860951217
-86.092747105130229,39.772138660185263,17912,New York St & Linwood Ave,51130,397721311,-860927420
-86.08893380396367,39.772214060385075,17913,New York St & Wallace Ave,51131,397722065,-860889287
-86.084367602649152,39.772281860682625,17914,New York St & Bancroft St,51134,397722743,-860843625
-86.08284370214804,39.772292860758661,17915,New York St & Emerson Ave,51135,397722853,-860828386
-86.078991401263423,39.774955861432765,17916,Ellenberger Park - Michigan St,51136,397749483,-860789863
-86.076684100600119,39.77513126158459,17917,Pleasant Run Pkwy N Dr & Pleasant Run Pkwy S Dr,51137,397751237,-860766790
-86.073975999827894,39.775222761755963,17918,Pleasant Run Pkwy N Dr & Ritter Ave,51139,397752152,-860739709
-86.071438699172447,39.776838162145509,17919,Pleasant Run Pkwy N Dr & Audubon Rd,51140,397768306,-860714336
-86.068061298142766,39.776173262249905,17920,Pleasant Run Pkwy N Dr & Graham Ave,51142,397761657,-860680562
-86.065697697537672,39.776167662351618,17921,Pleasant Run Pkwy N Dr & Campbell Ave,51143,397761601,-860656926
-86.064119197135611,39.777927362687521,17922,Arlington Ave & 09th St,51144,397779198,-860641141
-86.064143197345771,39.780243863155,17923,Arlington Ave & Saint Joseph St,51145,397802363,-860641381
-86.065313197849846,39.781717363410138,17924,10th St & Campbell Ave,51146,397817098,-860653081
-86.068126398713801,39.781680163266941,17925,10th St & Graham Ave,51147,397816726,-860681213
-86.064213198190217,39.789321964822641,17926,Arlington Ave & 16th St,51152,397893144,-860642081
-86.064301398365757,39.791864565244687,17927,Arlington Ave & 18th St,51154,397918570,-860642963
-86.064320798625516,39.794836565881333,17928,Arlington Ave & 20th St,51156,397948290,-860643157
-86.064321398759049,39.796087866102539,17929,Arlington Ave & 21st St,51157,397960803,-860643163
-86.064346598938968,39.798002566398488,17930,Arlington Ave & Windsor Dr,51158,397979950,-860643415
-86.06438269898797,39.79984636676825,17931,Arlington Ave & 23rd St,51159,397998388,-860643776
-86.064410199112046,39.800933866987123,17932,Arlington Ave & 24th St,51160,398009263,-860644051
-86.06445159937175,39.80351856743922,17933,Arlington Ave & 25th St,51161,398035110,-860644465
-86.064484099526084,39.805347467725994,17934,Arlington Ave & 26th St,51162,398053399,-860644790
-86.0645088997139,39.807770868201786,17935,Arlington Ave & 27th St,51163,398077633,-860645038
-86.064542699954529,39.809607368515188,17936,Arlington Ave & 29th St,51164,398095998,-860645376
-86.064567500144349,39.811255368781559,17937,Arlington Ave & 30th St,51165,398112478,-860645624
-86.064586000286738,39.813342469215144,17938,Arlington Ave & 31st St,51166,398133349,-860645809
-86.064602200444483,39.815208569541369,17939,Arlington Ave & 32nd St,51167,398152010,-860645971
-86.06459970055306,39.816468069771062,17940,Arlington Ave & 33rd St,51168,398164605,-860645946
-86.064614900719505,39.818702470178643,17941,Arlington Ave & 34th St,51169,398186949,-860646098
-86.064670401028053,39.823071170946371,17942,Arlington Ave - 3735 N,51171,398230636,-860646653
-86.064732401344756,39.825455871413766,17943,Arlington Ave & 38th St,51172,398254483,-860647273
-86.064732201477,39.827722571897318,17944,Arlington Ave & 39th St,51174,398277150,-860647271
-86.06474870164395,39.829222472139115,17945,Arlington Ave & 40th St,51175,398292149,-860647436
-86.064777301794422,39.830969772453209,17946,Arlington Ave & 41st St,51176,398309622,-860647722
-86.065964702953778,39.840456574168002,17947,46th St & Arlington Ave,51177,398404490,-860659596
-86.067552303563446,39.84212947431277,17948,Bolton Ave & Staughton Dr,51179,398421219,-860675472
-86.065292602918944,39.84224617444071,17949,Staughton Dr & Arlington Ave,51180,398422386,-860652875
-86.06499520188018,39.831334372531686,17950,Arlington Ave & 41st St,51181,398313268,-860649901
-86.064958901688982,39.829569372234886,17951,Arlington Ave & 40th St,51182,398295618,-860649538
