OBJECTID,PARCEL_TAG,PARCEL_I,PARCEL_C,STREETADDRESS,CITY,ID,UTILITY_ST,USPS_VACANCY,TAX_DELINQUENT,SURPLUS,REPAIR_ORDER,DEMO_ORDER,IMPROVEMENT,SOURCE,SHAPEAREA,SHAPELEN
3923,1027228,1016194,1016194,1826 TALLMAN AVE,INDIANAPOLIS,192222,1,0,1,0,1,0,1,MO,4899.33163194673,349.942192500098
3924,1316679,9037523,9037523,5332 RUSKIN PLW,INDIANAPOLIS,209863,0,1,1,0,0,0,1,MO,6471.95639938604,333.855305619239
3925,1185810,7004800,7004800,2135 N RITTER AVE,INDIANAPOLIS,215984,0,1,1,0,0,0,1,MO,26022.7242128667,660.264294279249
3926,1041803,1042927,1042927,535 N PARKER AVE,INDIANAPOLIS,287214,0,1,1,0,0,0,1,MO,5106.48701162532,361.794341813348
3927,1281966,9019341,9019341,214 N ADDISON ST,INDIANAPOLIS,133380,0,1,1,0,0,0,1,MO,5205.77854139613,349.989397159772
3928,1317656,1085508,1085508,3675 N COLORADO AVE,INDIANAPOLIS,340774,0,1,1,0,1,0,1,MO,7500.50720184575,389.018382518712
3929,1278787,9023343,9023343,527 N ALTON AVE,INDIANAPOLIS,319957,1,1,1,0,1,0,1,MO,4422.88459245578,328.221443700912
3930,1317256,1062819,1062819,3717 N CAPITOL AVE,INDIANAPOLIS,196892,1,1,1,0,1,0,1,MO,5878.67177013439,372.51001432322
3931,1013824,1063418,1063418,921 UDELL ST,INDIANAPOLIS,62507,1,1,1,0,0,0,1,MO,3780.03420580205,312.009361753707
3932,1022094,1033037,1033037,2250 N KENWOOD AVE,INDIANAPOLIS,332794,1,0,1,0,1,0,1,MO,4195.45707352468,310.151102302604
3933,1291244,9017560,9017560,2402 WILKINS ST,INDIANAPOLIS,119276,0,1,1,1,0,0,1,MO,5881.68662760572,364.094460664575
3934,1010457,1059965,1059965,4315 E 30TH ST,INDIANAPOLIS,207007,1,1,1,0,0,0,1,MO,4798.83239406651,319.976937477001
3935,1273478,9024306,9024306,1134 N TREMONT ST,INDIANAPOLIS,268792,0,1,1,0,0,0,1,MO,5360.40556620988,363.751268448878
3936,1279134,9022099,9022099,3103 W MICHIGAN ST,INDIANAPOLIS,309533,1,1,1,0,0,0,1,MO,4388.99622275745,272.330178153366
