OBJECTID,STREETNAME,COUNTY,TOWNSHIP,PHOTOYEAR,CONDITION,SHAPELEN
180,MARGAUX LN,MARION,LAWRENCE,2008, ,548.246090631554
181,NA,MARION,LAWRENCE,2008, ,280.316118946331
182,FALL CREEK PKWY NDR,MARION,LAWRENCE,2008, ,3533.49693015505
183,FALL CREEK PKWY NDR,MARION,LAWRENCE,2008, ,395.928525624924
184,NA,MARION,LAWRENCE,2008, ,560.513131602142
185,NA,MARION,LAWRENCE,2008, ,332.889928613077
186,FALL CREEK PKWY NDR,MARION,LAWRENCE,2008, ,855.871328727866
187,FALL CREEK PKWY NDR,MARION,LAWRENCE,2008, ,186.647107019911
188,FALL CREEK PKWY NDR,MARION,LAWRENCE,2008, ,837.262108759673
189,SAN CLEMENTE DR,MARION,LAWRENCE,2008, ,186.22752355905
190,SAN CLEMENTE DR,MARION,LAWRENCE,2008, ,183.632919194892
191,SAN CLEMENTE LN,MARION,LAWRENCE,2008, ,204.683462805404
192,SAN CLEMENTE LN,MARION,LAWRENCE,2008, ,241.810049158804
193,SAN CLEMENTE DR,MARION,LAWRENCE,2008, ,186.614288316658
194,SAN CLEMENTE DR,MARION,LAWRENCE,2008, ,295.515412081238
195,KAYSER CT,MARION,LAWRENCE,2008, ,143.682822750866
196,KAYSER CT,MARION,LAWRENCE,2008, ,144.03150718008
197,SAN CLEMENTE LN,MARION,LAWRENCE,2008, ,85.1300609909153
198,SAN CLEMENTE LN,MARION,LAWRENCE,2008, ,276.971388632438
123,SUMTER RD,MARION,LAWRENCE,2008, ,153.482528299655
124,ALDGATE LN,MARION,LAWRENCE,2008, ,269.816488713718
125,FULHAM DR,MARION,LAWRENCE,2008, ,366.730830855511
126,FULHAM DR,MARION,LAWRENCE,2008, ,329.030389277162
127,WOBURN DR,MARION,LAWRENCE,2008, ,633.90863312312
128,WOBURN DR,MARION,LAWRENCE,2008, ,235.77726650316
129,VAUXHALL RD,MARION,LAWRENCE,2008, ,183.289020838617
130,VAUXHALL RD,MARION,LAWRENCE,2008, ,185.269730457123
131,JOHNSON RD,MARION,LAWRENCE,2008, ,487.237600966783
132,NA,MARION,LAWRENCE,2008, ,373.579769550328
133,JOHNSON RD,MARION,LAWRENCE,2008, ,303.617148771449
134,JOHNSON RD,MARION,LAWRENCE,2008, ,213.733277112295
135,JOHNSON RD,MARION,LAWRENCE,2008, ,354.116633038427
136,NA,MARION,LAWRENCE,2008, ,1339.56537560832
137,BYWOOD DR,MARION,LAWRENCE,2008, ,101.360040791182
138,BYWOOD DR,MARION,LAWRENCE,2008, ,124.828241704637
139,BYWOOD DR,MARION,LAWRENCE,2008, ,622.800720332797
140,WINNOCK DR,MARION,LAWRENCE,2008, ,747.958630350942
141,WINNOCK DR,MARION,LAWRENCE,2008, ,539.597440628171
142,LAKEKNOLL DR,MARION,LAWRENCE,2008, ,949.293905546029
143,LAKEKNOLL DR,MARION,LAWRENCE,2008, ,1799.62776575942
144,LAKEKNOLL DR,MARION,LAWRENCE,2008, ,504.125778785762
145,WINNOCK DR,MARION,LAWRENCE,2008, ,142.920014998619
146,WINNOCK DR,MARION,LAWRENCE,2008, ,111.809779525251
147,WINNOCK DR,MARION,LAWRENCE,2008, ,74.4148905853022
148,WINNOCK DR,MARION,LAWRENCE,2008, ,142.549892869613
149,JOHNSON RD,MARION,LAWRENCE,2008, ,355.898263506859
150,LOWANNA WAY,MARION,LAWRENCE,2008, ,376.771775172739
151,LOWANNA WAY,MARION,LAWRENCE,2008, ,169.031652116231
152,WYCKFIELD WAY,MARION,WASHINGTON,2008, ,241.614727578281
153,LAKETON DR,MARION,LAWRENCE,2008, ,772.580747722315
154,WINNOCK DR,MARION,LAWRENCE,2008, ,113.321351415482
155,WINNOCK DR,MARION,LAWRENCE,2008, ,182.95914529904
156,LAKETON DR,MARION,LAWRENCE,2008, ,667.515913745082
157,JOHNSON RD,MARION,LAWRENCE,2008, ,366.137967901047
158,JOHNSON RD,MARION,LAWRENCE,2008, ,335.300429490032
159,LAKELAND DR,MARION,LAWRENCE,2008, ,1065.04200176023
160,LAKELAND DR,MARION,LAWRENCE,2008, ,1092.16026316249
161,NA,MARION,LAWRENCE,2008, ,509.636380837104
162,SHADELAND AVE,MARION,LAWRENCE,2008, ,305.685071626206
163,SHADELAND AVE,MARION,LAWRENCE,2008, ,966.933937152347
164,SHADELAND AVE,MARION,LAWRENCE,2008, ,966.36059155926
165,CHERBOURG CIR,MARION,LAWRENCE,2008, ,3013.52356229911
166,MARGAUX LN,MARION,LAWRENCE,2008, ,105.972229
167,CHERBOURG DR,MARION,LAWRENCE,2008, ,979.898496791898
168,CHERBOURG DR,MARION,LAWRENCE,2008, ,840.377783589666
169,CHERBOURG DR,MARION,LAWRENCE,2008, ,93.5233295901768
170,MARGAUX LN,MARION,LAWRENCE,2008, ,112.778847573023
171,FALL CREEK PKWY NDR,MARION,LAWRENCE,2008, ,1352.32003313412
172,FALL CREEK TRAIL,MARION,LAWRENCE,2008, ,712.316205501266
199,COMMON CIR,MARION,WASHINGTON,2008, ,844.78488490777
200,COMMON VIEW CIR,MARION,WASHINGTON,2008, ,1905.58191979518
201,COMMON WAY,MARION,WASHINGTON,2008, ,238.230528733184
202,COMMON CIR,MARION,WASHINGTON,2008, ,261.615803851944
203,COMMON CIR,MARION,WASHINGTON,2008, ,161.391800350306
204,COMMON VISTA WAY,MARION,WASHINGTON,2008, ,367.739296928987
205,COMMON VISTA WAY,MARION,WASHINGTON,2008, ,347.296963355873
