X,Y,OBJECTID,INTERSECTION_TAG,TYPE1,TYPE2,TYPE3,STREET1,STREET2,STREET3,STREET4,STREET5,STREET6,STREET7,STREET8
-86.258915491248558,39.805913831993543,2361,79072,STREET/STREET,BUILT/BUILT,GRADE,HICKORYWOOD DR,MAC ARTHUR LN,,,,,,
-86.095019573702317,39.700731103634389,2362,91194,STREET/STREET,BUILT/BUILT,GRADE,KATHI DR,NIKKI DR,,,,,,
-86.021350381453146,39.70870957969214,2368,86554,STREET/STREET,BUILT/BUILT,GRADE,KERRY DR,EATON CT,EATON AVE,,,,,
-86.01017583093757,39.79001924527546,2369,69452,STREET/STREET,BUILT/BUILT,GRADE,LUTHERWOOD DR,16TH PL,,,,,,
-86.183308735237375,39.914597526557507,2370,52696,STREET/STREET,BUILT/BUILT,GRADE,OLD TOWN NDR,OLD TOWN WDR,,,,,,
-86.326548746993865,39.67928336003208,2371,83145,STREET/STREET,BUILT/BUILT,GRADE,1075 E,RACEWAY RD,,,,,,
-85.995181527006238,39.798490068666098,2372,69123,STREET/STREET,BUILT/BUILT,GRADE,LAKE TERRACE NDR,LAKE TERRACE WDR,,,,,,
-86.32539665990663,39.747162118862924,2374,82708,STREET/STREET,BUILT/BUILT,GRADE,TENOR WAY,TENOR PL,,,,,,
-86.183000836622014,39.761693509340773,2375,74318,ALLEY/ALLEY,BUILT/BUILT,GRADE,ALLEY 1325 W,ALLEY 425 S,,,,,,
-86.14390692670554,39.734128946901741,2376,88236,ALLEY/ALLEY,BUILT/BUILT,GRADE,ALLEY 2375 S,ALLEY 925 E,,,,,,
-86.291140570658342,39.816948643242483,2378,79425,STREET/STREET,BUILT/BUILT,GRADE,RED BLUFF DR,COPPERLEAF DR,,,,,,
-86.249628329880053,39.7193813609207,2379,89364,STREET/STREET,BUILT/BUILT,GRADE,HODSON DR,HODSON PL,,,,,,
-86.048725639362146,39.644970414441104,2380,91816,STREET/STREET,BUILT/BUILT,GRADE,FLICK WAY,FLICK DR,,,,,,
-86.119034673569089,39.851469796445137,2382,82132,STREET/STREET,BUILT/BUILT,GRADE,TEMPLE AVE,54TH ST,,,,,,
-85.993684491372619,39.885663710279673,2383,55226,STREET/STREET,BUILT/BUILT,GRADE,INDIAN LAKE BLVD W,CHEROKEE DR,INDIAN LAKE BLVD N,,,,,
-86.241316278985039,39.797459403281408,2384,79018,STREET/STREET,BUILT/BUILT,GRADE,MAIN ST,BAXTER DR,,,,,,
-86.086092406330451,39.76437683610785,2422,72673,STREET/STREET,BUILT/BUILT,GRADE,NAVIN ST,ORION AVE,,,,,,
-86.269578211119793,39.671484538836346,2429,83502,STREET/STREET,BUILT/BUILT,GRADE,NOLTE ST,HIGH SCHOOL RD,MOORESVILLE RD,,,,,
-86.153697978533515,39.751144955550998,2430,73173,ALLEY/ALLEY,BUILT/BUILT,GRADE,ALLEY 1225 S,ALLEY 250 E,,,,,,
-86.058267155443289,39.692731845172077,2436,85622,STREET/STREET,BUILT/BUILT,GRADE,KINGS CANYON DR,GRAND TETONS DR,,,,,,
-86.246113761962874,39.860818153511097,2440,50633,STREET/STREET,BUILT/BUILT,GRADE,59TH ST,DEERWOOD CT,,,,,,
-86.254213295397236,39.848344125792075,2442,51749,STREET/STREET,BUILT/BUILT,GRADE,SPRING CREEK PL,SPRING CREEK CT,,,,,,
-86.151280903689354,39.809278708844047,2443,77521,STREET/STREET,BUILT/BUILT,GRADE,PRINCETON PL,TRENTON ST,,,,,,
-86.107203984321089,39.718888474636806,2455,87438,STREET/STREET,BUILT/BUILT,GRADE,TICEN ST,NEWCOMER LN,,,,,,
-86.134653692297675,39.720149009085226,2473,94907,ALLEY/ALLEY,BUILT/BUILT,GRADE,ALLEY 1350 E,ALLEY 3175 S,,,,,,
-86.136246133551396,39.732598975665809,2477,94808,STREET/ALLEY,BUILT/BUILT,GRADE,UNNAMED,ALLEY 2475 S,,,,,,
-86.135404616983621,39.729883563830654,2478,94824,STREET/ALLEY,BUILT/BUILT,GRADE,UNNAMED,ALLEY 2625 S,,,,,,
-86.015892273605147,39.902308001615715,2479,56903,STREET/STREET,BUILT/BUILT,GRADE,RAVEN ROCK DR,RAVEN ROCK CT,,,,,,
-85.952717497767566,39.87940570960027,2481,56746,STREET/STREET,BUILT/BUILT,GRADE,WYNNE ST,PENDLETON RD,,,,,,
-86.031043261315659,39.655989880755079,2483,86330,STREET/STREET,BUILT/BUILT,GRADE,STONEY SIDE LN,TIMBERFIELD LN,,,,,,
-86.211457593084674,39.873739544277541,2486,53789,STREET/STREET,BUILT/BUILT,GRADE,AMICK WAY,KIRCH CT,DRIVING WIND WAY,,,,,
-86.186105618171624,39.892383739664872,2487,54034,STREET/STREET,BUILT/BUILT,GRADE,MINTURN LN,KEATING DR,,,,,,
-86.192069961091988,39.835726130686396,2528,51029,STREET/STREET,BUILT/BUILT,GRADE,GLENCARY CREST,BRAEDON WOOD,,,,,,
