X,Y,OBJECTID,ADDRESS_BLOCK,PRE_DIR,STREET_NAME,SUFFIX,SUF_DIR,FULL_ADDRESS,METER_NUMBER,SPACE_NUMBER,SPACE_TYPE,INSTALL_DATE,HOURLY_RATE,DAILY_RATE,RATE_INCREASE_DATE,ZONE_NAME,OP_HOURS,OP_DAYS,PAY_TYPE
-86.153550822105657,39.771870367320453,66875,300,,MASSACHUSETTS,AVE,,300 MASSACHUSETTS AV,MAS 000334,1356,MULTI SPACE,2011-01-01T00:00:00.000Z,1.50,24.00,2012-01-02T00:00:00.000Z,01,0700-2100,MON-SAT,MULTI
-86.16140653993665,39.772916842860269,66876,400,N,CAPITOL,AVE,E,400 N CAPITOL AV,NC  000401,8060,SINGLE SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,03,0700-1800,MON-FRI,SINGLE
-86.161692233039375,39.771122016911384,66877,200,N,CAPITOL,AVE,W,200 N CAPITOL AV,NC  000218,3381,MULTI SPACE,2011-01-01T00:00:00.000Z,1.50,24.00,2012-01-02T00:00:00.000Z,01,0700-2100,MON-SAT,MULTI
-86.158737166027663,39.76717821368706,66878,0000,W,WASHINGTON,ST,N,0000 W WASHINGTON ST,WW  000014,9535,MULTI SPACE,2011-01-01T00:00:00.000Z,1.50,24.00,2012-01-02T00:00:00.000Z,01,0700-2100,MON-SAT,MULTI
-86.149753201902215,39.77538973731501,66879,400,E,NORTH,ST,N,400 E NORTH ST,EN  000416,6027,SINGLE SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,03,0700-1800,MON-FRI,SINGLE
-86.153199580661777,39.772120939259388,66880,300,,MASSACHUSETTS,AVE,,300 MASSACHUSETTS AV,MAS 000350,1364,MULTI SPACE,2011-01-01T00:00:00.000Z,1.50,24.00,2012-01-02T00:00:00.000Z,01,0700-2100,MON-SAT,MULTI
-86.164756896754398,39.779430745254729,66881,300,W,009TH,ST,N,300 W 009TH ST,,8570,MULTI SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,03,0700-1800,MON-FRI,MULTI
-86.16136248653001,39.774009216450033,66882,400,N,CAPITOL,AVE,E,400 N CAPITOL AV,NC  000429,8071,MULTI SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,03,0700-1800,MON-FRI,MULTI
-86.163170773287462,39.774896415621768,66883,500,N,SENATE,AVE,E,500 N SENATE AV,NS  000509,8194,ADA,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,03,0700-1800,MON-FRI,SINGLE
-86.163318174822706,39.770456450435482,66884,200,N,SENATE,AVE,E,200 N SENATE AV,NS  000209,3084,MULTI SPACE,2011-01-01T00:00:00.000Z,1.50,24.00,2012-01-02T00:00:00.000Z,01,0700-2100,MON-SAT,MULTI
-86.144944675149475,39.87047999528572,66885,700,E,WESTFIELD,BLVD,N,700 WESTFIELD BLVD,<Null>,234,MULTI SPACE,2012-03-30T00:00:00.000Z,1.50,24.00,2012-01-02T00:00:00.000Z,04,0700-2100,MON-SAT,MULTI
-86.155834496504042,39.782020525690044,66886,1000,N,PENNSYLVANIA,ST,W,1000 N PENNSYLVANIA ST,NP  001020,8667,SINGLE SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,03,0700-1800,MON-FRI,SINGLE
-86.142635022010396,39.779500839275649,66887,800,,MASSACHUSETTS,AVE,,800 MASSACHUSETTS AVE,,2527,MULTI SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,,02,0700-2000,MON-SAT,MULTI
-86.156158347067262,39.772056068356854,66888,300,N,PENNSYLVANIA,ST,W,300 N PENNSYLVANIA ST,NP  000310,5614,SINGLE SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,02,0700-2000,MON-SAT,SINGLE
-86.15115195531844,39.773623586057525,66889,400,,MASSACHUSETTS,AVE,,400 MASSACHUSETTS AV,MAS 000480,1737,MULTI SPACE,2011-01-01T00:00:00.000Z,1.50,24.00,2012-01-02T00:00:00.000Z,01,0700-2100,MON-SAT,MULTI
-86.160425720583802,39.769258898763624,66890,100,W,WABASH,ST,S,100 W WABASH ST,WWB 000119,3309,MULTI SPACE,2011-01-01T00:00:00.000Z,1.50,24.00,2012-01-02T00:00:00.000Z,01,0700-2100,MON-SAT,MULTI
-86.155533052897411,39.788335891591672,66891,100,E,016TH,ST,S,100 E 016TH ST,E16TH000103,1941,SINGLE SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,03,0700-1800,MON-SAT,SINGLE
-86.161384858547322,39.78997572026136,66892,1700,N,CAPITOL,AVE,E,1700 N CAPITOL AV,NC  001709,3741,MULTI SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,02,0700-2000,MON-SAT,MULTI
-86.156239004751328,39.765757959418806,66893,0000,S,PENNSYLVANIA,ST,E,0000 S PENNSYLVANIA ST,SP  000025,5102,MULTI SPACE,2011-01-01T00:00:00.000Z,1.50,24.00,2012-01-02T00:00:00.000Z,01,0700-2100,MON-SAT,MULTI
-86.146789746113043,39.776671468590472,66894,700,,MASSACHUSETTS,AVE,,700 MASSACHUSETTS AV,MAS 000710,2034,MULTI SPACE,2011-01-01T00:00:00.000Z,1.50,24.00,2012-01-02T00:00:00.000Z,01,0700-2100,MON-SAT,MULTI
-86.161306715772099,39.775327505298726,66895,500,N,CAPITOL,AVE,E,500 N CAPITOL AV,NC  000511,8094,SINGLE SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,03,0700-1800,MON-FRI,SINGLE
-86.158393271084861,39.779184218845081,66896,0000,W,009TH,ST,S,0000 W 009TH ST,W09TH000027,8935,SINGLE SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,03,0700-1800,MON-FRI,SINGLE
-86.151881315280903,39.772891275395629,66897,400,,MASSACHUSETTS,AVE,,400 MASSACHUSETTS AV,MAS 000415,1757,MULTI SPACE,2011-01-01T00:00:00.000Z,1.50,24.00,2012-01-02T00:00:00.000Z,01,0700-2100,MON-SAT,MULTI
-86.163186198125359,39.774364719025129,66898,500,N,SENATE,AVE,E,500 N SENATE AV,NS  000501,8190,SINGLE SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,03,0700-1800,MON-FRI,SINGLE
-86.158008868809318,39.779174073353445,66899,0000,W,009TH,ST,S,0000 W 009TH ST,W09TH000011,8930,SINGLE SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,03,0700-1800,MON-FRI,SINGLE
-86.151658828339748,39.773255693021255,66900,400,,MASSACHUSETTS,AVE,,400 MASSACHUSETTS AV,MAS 000440,1718,MULTI SPACE,2011-01-01T00:00:00.000Z,1.50,24.00,2012-01-02T00:00:00.000Z,01,0700-2100,MON-SAT,MULTI
-86.151258337280396,39.773540604556253,66901,400,,MASSACHUSETTS,AVE,,400 MASSACHUSETTS AV,MAS 000468,1732,MULTI SPACE,2011-01-01T00:00:00.000Z,1.50,24.00,2012-01-02T00:00:00.000Z,01,0700-2100,MON-SAT,MULTI
-86.161464423374738,39.776301560940773,66902,600,N,CAPITOL,AVE,W,600 N CAPITOL AV,NC  000608,8103,SINGLE SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,03,0700-1800,MON-FRI,SINGLE
-86.14719583512516,39.776210870387345,66903,600,,MASSACHUSETTS,AVE,,600 MASSACHUSETTS AV,MAS 000679,1927,MULTI SPACE,2011-01-01T00:00:00.000Z,1.50,24.00,2012-01-02T00:00:00.000Z,01,0700-2100,MON-SAT,MULTI
-86.151223607721818,39.773373424150357,66904,400,,MASSACHUSETTS,AVE,,400 MASSACHUSETTS AV,MAS 000457,1778,MULTI SPACE,2011-01-01T00:00:00.000Z,1.50,24.00,2012-01-02T00:00:00.000Z,01,0700-2100,MON-SAT,MULTI
-86.162919031970205,39.78121306068725,66905,1000,N,SENATE,AVE,E,1000 N SENATE AVE,NS 1003,8221,MULTI SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,03,0700-1800,MON-FRI,MULTI
-86.1517313073916,39.773201561524296,66906,400,,MASSACHUSETTS,AVE,,400 MASSACHUSETTS AV,MAS 000434,1715,ADA,2011-01-01T00:00:00.000Z,1.50,24.00,2012-01-02T00:00:00.000Z,01,0700-2100,MON-SAT,SINGLE
-86.161156205085874,39.786099934548702,66907,1400,N,CAPITOL,AVE,E,1400 N CAPITOL AV,NC  001403,3801,SINGLE SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,02,0700-2000,MON-SAT,SINGLE
-86.15067098890519,39.773657403689143,66908,400,N,NEW JERSEY,ST,W,400 N NEW JERSEY ST,NNJ 000428,1472,MULTI SPACE,2011-01-01T00:00:00.000Z,1.50,24.00,2012-01-02T00:00:00.000Z,01,0700-2100,MON-SAT,MULTI
-86.148442036219365,39.775559649160364,66909,600,,MASSACHUSETTS,AVE,,600 MASSACHUSETTS AV,MAS 000602,1850,MULTI SPACE,2011-01-01T00:00:00.000Z,1.50,24.00,2012-01-02T00:00:00.000Z,01,0700-2100,MON-SAT,MULTI
-86.148361654832655,39.775444784212944,66910,600,,MASSACHUSETTS,AVE,,600 MASSACHUSETTS AV,MAS 000611,1895,MULTI SPACE,2011-01-01T00:00:00.000Z,1.50,24.00,2012-01-02T00:00:00.000Z,01,0700-2100,MON-SAT,MULTI
-86.159403363278216,39.772694278044391,66911,0000,W,VERMONT,ST,S,0000 W VERMONT ST,WV  000013,3560,SINGLE SPACE,2011-11-02T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,02,0700-2000,MON-SAT,SINGLE
-86.149114536507952,39.774890893871344,66912,500,,MASSACHUSETTS,AVE,,500 MASSACHUSETTS AV,MAS 000581,1840,MULTI SPACE,2011-01-01T00:00:00.000Z,1.50,24.00,2012-01-02T00:00:00.000Z,01,0700-2100,MON-SAT,MULTI
-86.162929440689055,39.781993220250605,66913,1000,N,SENATE,AVE,E,1000 N SENATE AVE,NS 1025,8232,MULTI SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,03,0700-1800,MON-FRI,MULTI
-86.155926358820878,39.778526732698545,66914,800,N,PENNSYLVANIA,ST,W,800 N PENNSYLVANIA ST,NP  000814,2426,MULTI SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,02,0700-2000,MON-SAT,MULTI
-86.151831937714135,39.772923779072272,66915,400,,MASSACHUSETTS,AVE,,400 MASSACHUSETTS AV,MAS 000419,1759,MULTI SPACE,2011-01-01T00:00:00.000Z,1.50,24.00,2012-01-02T00:00:00.000Z,01,0700-2100,MON-SAT,MULTI
-86.165229087322956,39.782167003971665,66916,300,W,011TH,ST,S,300 W 011TH ST,E11TH000345,8595,MULTI SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,03,0700-1800,MON-FRI,MULTI
-86.155740450956799,39.779749081660064,66917,900,N,PENNSYLVANIA,ST,E,900 N PENNSYLVANIA ST,NP  000919,2434,SINGLE SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,02,0700-2000,MON-SAT,SINGLE
-86.163364044869311,39.773965052118363,66918,400,N,SENATE,AVE,W,400 N SENATE AV,NS  000428,8158,MULTI SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,03,0700-1800,MON-FRI,MULTI
-86.155664333864266,39.771332803522597,66919,100,E,NEW YORK,ST,N,100 E NEW YORK ST,ENY 000106,1284,MULTI SPACE,2011-01-01T00:00:00.000Z,1.50,24.00,2012-01-02T00:00:00.000Z,01,0700-2100,MON-SAT,MULTI
-86.165929099897824,39.782163994637443,66920,300,W,011TH,ST,S,300 W 011TH ST,E11TH000353,8599,MULTI SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,03,0700-1800,MON-FRI,MULTI
-86.153270298117462,39.77207523868163,66921,300,,MASSACHUSETTS,AVE,,300 MASSACHUSETTS AV,MAS 000346,1362,MULTI SPACE,2011-01-01T00:00:00.000Z,1.50,24.00,2012-01-02T00:00:00.000Z,01,0700-2100,MON-SAT,MULTI
